[
	[ [ 1.0544559056124911, -0.776, -0.784 ], [ -0.168, -1.82, 0.008 ], [ 0.9832378744704439, 0.814436062284095, 0.972 ], [ 0.24731271731815693, -1.86, 0.204 ], [ -0.38, -1.824, -1.808 ], [ -1.412, 0.3636701085389078, 1.939190531382389 ], [ 1.2917357848000681, 1.4928293119460072, -0.032 ], [ 0.6705399150467575, -0.5, 0.188 ], ... ],
	[ [ 0.084, -1.388, -1.384 ], [ 0.7719984898447094, 0.8158854704954944, -1.392 ], [ 0.19078579707358362, -1.104, 0.028 ], [ 0.7447147824415016, 0.6316884417120134, -1.02 ], [ -0.244, 0.4201970287834811, 0.668 ], [ -1.32, -1.644, -1.988 ], [ 0.29524704105699656, 1.4790301689451195, 1.5799053138238908 ], [ -0.544, 0.8558686474776793, 1.096 ], ... ],
	[ [ -0.32, 0.4549828258570647, -0.088 ], [ -0.84, 0.7918121378030717, -1.764 ], [ -0.2, -1.616, -1.148 ], [ -1.396, -1.616, -0.46 ], [ 0.5774875847129012, 0.6129683208995901, -1.0 ], [ 1.3518014610612283, 0.6775440943875087, 1.571208864555495 ], [ 1.3368858216206148, -1.592, -0.192 ], [ 1.4742298669140612, -0.82, -1.252 ], ... ],
	[ [ 0.4139946616290784, -1.136, -1.224 ], [ 1.4178174761739935, -1.364, 1.4132233695129692 ], [ -1.364, 0.5807529589430034, 1.236 ], [ -0.072, 0.5549919924436175, 1.4364139008953585 ], [ -1.592, -1.6, 1.32 ], [ -0.424, -0.728, -1.916 ], [ 0.17919053138238905, -0.164, 0.584 ], [ 0.7125727531773374, -1.032, 1.736348224634198 ], ... ],
	[ [ 0.7502573666737198, 0.6955845889493513, 1.068 ], [ -0.384, 0.6057212798425935, -0.04 ], [ -1.708, -0.848, 1.192 ], [ 1.505928985367918, -0.936, 0.02 ], [ 0.6695517508187712, 0.8096189372352218, 0.952 ], [ 0.7021260141513991, -0.608, 0.952 ], [ 0.008, 0.1839434903253925, -1.124 ], [ 0.5415425842322181, 0.168, -0.836 ], ... ],
	[ [ -0.192, -1.436, -1.952 ], [ 0.9806674393534469, 1.2832378744704438, 1.4914914129285324 ], [ -1.616, 0.32888431146532415, 1.5465689249617065 ], [ -1.472, 0.168, -0.072 ], [ -1.456, 0.2709079830093515, -1.924 ], [ -0.916, 0.38541123170989755, 1.3 ], [ 1.4195295894300342, -0.432, 0.816 ], [ -0.836, -0.456, 1.3552470410569966 ], ... ],
	[ [ 0.4879144804104435, -1.324, -0.988 ], [ 0.5879236469969964, -0.856, 1.630964492683959 ], [ 0.5966200962653923, -0.052, -0.848 ], [ -1.524, -1.7, -1.1 ], [ -0.748, 0.3767147824415016, 0.408 ], [ 0.9715005795150851, 0.44338756016587016, 0.46 ], [ 0.6024177291109895, -1.716, -1.824 ], [ 0.2502115337409556, -0.148, -1.24 ], ... ],
	[ [ -1.088, -1.836, 1.24 ], [ 1.2004245776372016, 0.2535150844725597, -0.468 ], [ 0.3400748428477132, -0.612, -0.896 ], [ -0.588, -1.724, -1.632 ], [ -1.3, -0.88, 0.336 ], [ -0.08, -1.46, 0.504 ], [ 0.02, -0.296, -0.84 ], [ -1.356, 0.9731195167503071, -0.792 ], ... ],
	...
]
